2018-07-02 15:14:29 5514 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/] 
2018-07-02 15:14:29 5515 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'statViewServlet' to [/druid/*] 
2018-07-02 15:14:29 5518 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*] 
2018-07-02 15:14:29 5518 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*] 
2018-07-02 15:14:29 5518 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*] 
2018-07-02 15:14:29 5518 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*] 
2018-07-02 15:14:29 5518 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'webStatFilter' to urls: [/*] 
2018-07-02 15:14:29 5518 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'shiroLoginFilter' to: [/*] 
2018-07-02 15:14:29 5519 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'shiroFilter' to: [/*] 
2018-07-02 15:14:30 6399 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/user],methods=[POST]}" onto public java.lang.String com.wyc.web.AdminController.addUser(java.lang.String) 
2018-07-02 15:14:30 6400 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/user],methods=[GET]}" onto public java.lang.String com.wyc.web.AdminController.getUser(long) 
2018-07-02 15:14:30 6401 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/user],methods=[DELETE]}" onto public java.lang.String com.wyc.web.AdminController.delUser(long) 
2018-07-02 15:14:30 6401 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/user],methods=[PUT]}" onto public java.lang.String com.wyc.web.AdminController.updateUser(java.lang.String) 
2018-07-02 15:14:30 6401 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/testAuthorization],methods=[GET]}" onto public java.lang.String com.wyc.web.AdminController.testAuthorization() 
2018-07-02 15:14:30 6402 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/unauth]}" onto public java.lang.Object com.wyc.web.AuthenticationController.unauth() 
2018-07-02 15:14:30 6403 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login]}" onto public java.lang.String com.wyc.web.AuthenticationController.login() 
2018-07-02 15:14:30 6403 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login_in],produces=[application/json;charset=UTF-8]}" onto public com.wyc.entity.JsonBean com.wyc.web.AuthenticationController.loginIn(javax.servlet.http.HttpServletRequest) 
2018-07-02 15:14:30 6404 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/demo/getAll],methods=[GET]}" onto public java.lang.String com.wyc.web.DemoController.testDemo(java.util.Map<java.lang.String, java.lang.Object>) 
2018-07-02 15:14:30 6404 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/demo/testRedis],methods=[GET]}" onto public java.lang.String com.wyc.web.DemoController.testRedis(java.lang.String) 
2018-07-02 15:14:30 6405 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/errorPage/404]}" onto public java.lang.String com.wyc.web.ErrorPageController.http404() 
2018-07-02 15:14:30 6405 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/errorPage/403]}" onto public java.lang.String com.wyc.web.ErrorPageController.http403() 
2018-07-02 15:14:30 6406 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/datam/verify]}" onto public java.lang.String com.wyc.web.GetDataController.verify() 
2018-07-02 15:14:30 6406 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/v2/api-docs],methods=[GET],produces=[application/json || application/hal+json]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest) 
2018-07-02 15:14:30 6411 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/swagger-resources]}" onto org.springframework.http.ResponseEntity<java.util.List<springfox.documentation.swagger.web.SwaggerResource>> springfox.documentation.swagger.web.ApiResourceController.swaggerResources() 
2018-07-02 15:14:30 6412 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/swagger-resources/configuration/ui]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.UiConfiguration> springfox.documentation.swagger.web.ApiResourceController.uiConfiguration() 
2018-07-02 15:14:30 6412 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/swagger-resources/configuration/security]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.SecurityConfiguration> springfox.documentation.swagger.web.ApiResourceController.securityConfiguration() 
2018-07-02 15:14:30 6415 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest) 
2018-07-02 15:14:30 6416 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
2018-07-02 15:14:30 6837 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@36b64a27: startup date [Mon Jul 02 15:14:24 CST 2018]; root of context hierarchy 
2018-07-02 15:14:30 6991 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2018-07-02 15:14:30 6994 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2018-07-02 15:14:30 7112 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2018-07-02 15:14:31 7497 [restartedMain] INFO  o.s.w.s.v.f.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration 
2018-07-02 15:14:31 7707 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729 
2018-07-02 15:14:31 7764 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup 
2018-07-02 15:14:31 7766 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure 
2018-07-02 15:14:31 7772 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource] 
2018-07-02 15:14:31 7778 [restartedMain] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647 
2018-07-02 15:14:31 7778 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed 
2018-07-02 15:14:31 7799 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s) 
2018-07-02 15:14:31 7807 [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references 
2018-07-02 15:14:31 8003 [restartedMain] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing 
2018-07-02 15:14:31 8040 [restartedMain] INFO  com.wyc.task.MyDynamicTask - Cron has been changed to:'0 0 8 1-31 * ?'. Old cron was:'null' 
2018-07-02 15:14:31 8045 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
2018-07-02 15:14:31 8053 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
2018-07-02 15:14:31 8064 [restartedMain] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read 
2018-07-02 15:14:31 8083 [restartedMain] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http) 
2018-07-02 15:14:31 8088 [restartedMain] INFO  com.wyc.DatamsecurityApplication - Started DatamsecurityApplication in 7.474 seconds (JVM running for 9.326) 
2018-07-02 15:16:16 112714 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet' 
2018-07-02 15:16:16 112714 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started 
2018-07-02 15:16:16 112762 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 48 ms 
2018-07-02 15:16:16 112779 [http-nio-8080-exec-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager - Enabling session validation scheduler... 
2018-07-02 15:16:16 113081 [http-nio-8080-exec-1] INFO  c.a.druid.pool.DruidDataSource - {dataSource-1,test} inited 
2018-07-02 15:16:19 116117 [http-nio-8080-exec-3] INFO  c.w.s.impl.BaseServiceClientImpl - Function Query.Transformed Params:{TABLE_NAME=CMS_USER_INFO, KEY_ID=ID, KEY_VALUE=0} 
2018-07-02 16:16:16 3712780 [SessionValidationThread-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager - Validating all active sessions... 
2018-07-02 16:16:16 3712801 [SessionValidationThread-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager - Finished session validation.  [13] sessions were stopped. 
2018-07-02 17:05:40 6676647 [Thread-23] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@36b64a27: startup date [Mon Jul 02 15:14:24 CST 2018]; root of context hierarchy 
2018-07-02 17:05:40 6676651 [Thread-23] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647 
2018-07-02 17:05:40 6676654 [Thread-23] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown 
2018-07-02 17:05:40 6676654 [Thread-23] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans 
2018-07-02 17:05:40 6676659 [Thread-23] INFO  c.a.druid.pool.DruidDataSource - {dataSource-1} closed 
2018-07-02 17:05:40 6677212 [restartedMain] INFO  com.wyc.DatamsecurityApplication - Starting DatamsecurityApplication on DESKTOP-U1CJN0C with PID 1204 (C:\Users\haima\IdeaProjects\datamsecurity\target\classes started by haima in C:\Users\haima\IdeaProjects\datamsecurity) 
2018-07-02 17:05:40 6677213 [restartedMain] INFO  com.wyc.DatamsecurityApplication - The following profiles are active: dev 
2018-07-02 17:05:40 6677218 [restartedMain] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@48930b72: startup date [Mon Jul 02 17:05:40 CST 2018]; root of context hierarchy 
2018-07-02 17:05:41 6678267 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode! 
2018-07-02 17:05:42 6678576 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfiguration' of type [com.wyc.configuration.ShiroConfiguration$$EnhancerBySpringCGLIB$$b6c86d91] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:05:42 6678591 [restartedMain] INFO  c.w.c.ShiroConfiguration - myRealm注册完成 
2018-07-02 17:05:42 6678637 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties' of type [org.mybatis.spring.boot.autoconfigure.MybatisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:05:42 6678642 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' of type [org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration$$EnhancerBySpringCGLIB$$2fbcba05] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:05:42 6678648 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'baseDataSource' of type [com.wyc.configuration.BaseDataSource$$EnhancerBySpringCGLIB$$e9d5a342] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:05:42 6678845 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSource' of type [com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:05:42 6678874 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionFactory' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:05:42 6678877 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionTemplate' of type [org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:05:42 6678878 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userInfoMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:05:42 6678878 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userInfoMapper' of type [com.sun.proxy.$Proxy113] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:05:42 6678896 [restartedMain] INFO  o.s.b.a.l.AutoConfigurationReportLoggingInitializer - 

Error starting ApplicationContext. To display the auto-configuration report re-run your application with 'debug' enabled. 
2018-07-02 17:09:07 6883626 [restartedMain] INFO  com.wyc.DatamsecurityApplication - Starting DatamsecurityApplication on DESKTOP-U1CJN0C with PID 1204 (C:\Users\haima\IdeaProjects\datamsecurity\target\classes started by haima in C:\Users\haima\IdeaProjects\datamsecurity) 
2018-07-02 17:09:07 6883627 [restartedMain] INFO  com.wyc.DatamsecurityApplication - The following profiles are active: dev 
2018-07-02 17:09:07 6883629 [restartedMain] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@3d27e9fd: startup date [Mon Jul 02 17:09:07 CST 2018]; root of context hierarchy 
2018-07-02 17:09:08 6884673 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode! 
2018-07-02 17:09:08 6884773 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfiguration' of type [com.wyc.configuration.ShiroConfiguration$$EnhancerBySpringCGLIB$$b6c86d91] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:09:08 6884773 [restartedMain] INFO  c.w.c.ShiroConfiguration - myRealm注册完成 
2018-07-02 17:09:08 6884820 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties' of type [org.mybatis.spring.boot.autoconfigure.MybatisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:09:08 6884823 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' of type [org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration$$EnhancerBySpringCGLIB$$2fbcba05] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:09:08 6884823 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'baseDataSource' of type [com.wyc.configuration.BaseDataSource$$EnhancerBySpringCGLIB$$e9d5a342] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:09:08 6885004 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSource' of type [com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:09:08 6885083 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionFactory' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:09:08 6885085 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionTemplate' of type [org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:09:08 6885086 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userInfoMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:09:08 6885086 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userInfoMapper' of type [com.sun.proxy.$Proxy115] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 17:09:08 6885095 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'baseMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
